pct_length                 wc                       hc                       hrib                     wrib                     Uin                      Pressure
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     5.0E-5                   0.1                      0.37201129788765747
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     5.0E-5                   1.7500000000000002       20.218269973957085
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     5.0E-5                   3.4000000000000004       64.71664596482614
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     5.0E-5                   5.05                     131.7016526965477
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     5.0E-5                   6.7                      219.64424304399006
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     5.0E-5                   8.35                     327.26478568917076
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     5.0E-5                   10                       453.671937392269
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     8.333333333333334E-5     0.1                      0.45429423736843805
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     8.333333333333334E-5     1.7500000000000002       23.081689870752616
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     8.333333333333334E-5     3.4000000000000004       73.39908131778138
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     8.333333333333334E-5     5.05                     149.17838283910154
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     8.333333333333334E-5     6.7                      248.64442919810176
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     8.333333333333334E-5     8.35                     370.4276410502258
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     8.333333333333334E-5     10                       513.5463608783436
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.1666666666666667E-4    0.1                      0.5251787630006203
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.1666666666666667E-4    1.7500000000000002       26.297381900713074
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.1666666666666667E-4    3.4000000000000004       83.78836972044569
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.1666666666666667E-4    5.05                     170.47062925384986
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.1666666666666667E-4    6.7                      284.0622537006101
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.1666666666666667E-4    8.35                     423.04386325513155
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.1666666666666667E-4    10                       586.2504796703881
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.5000000000000001E-4    0.1                      0.6037583004134617
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.5000000000000001E-4    1.7500000000000002       29.365245032403063
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.5000000000000001E-4    3.4000000000000004       94.15154469341265
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.5000000000000001E-4    5.05                     192.28735141359732
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.5000000000000001E-4    6.7                      321.3610272698689
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.5000000000000001E-4    8.35                     479.3269473767848
0.02                     5.0E-4                   0.001                    5.855000000000001E-4     1.5000000000000001E-4    10                       664.8995735943411
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     5.0E-5                   0.1                      0.40962936611704515
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     5.0E-5                   1.7500000000000002       23.45506477583548
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     5.0E-5                   3.4000000000000004       75.53338459084029
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     5.0E-5                   5.05                     154.05393223949724
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     5.0E-5                   6.7                      257.15940731756297
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     5.0E-5                   8.35                     383.5340507509958
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     5.0E-5                   10                       532.1227714912285
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     8.333333333333334E-5     0.1                      0.5097795512023631
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     8.333333333333334E-5     1.7500000000000002       27.319547803623273
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     8.333333333333334E-5     3.4000000000000004       88.01542786786287
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     8.333333333333334E-5     5.05                     179.66762987264647
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     8.333333333333334E-5     6.7                      300.0931261089119
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     8.333333333333334E-5     8.35                     447.5193070377248
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     8.333333333333334E-5     10                       621.0102025603404
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.1666666666666667E-4    0.1                      0.588852216679917
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.1666666666666667E-4    1.7500000000000002       30.710986663023462
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.1666666666666667E-4    3.4000000000000004       99.2057973559236
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.1666666666666667E-4    5.05                     202.9207243297961
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.1666666666666667E-4    6.7                      339.41102455371896
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.1666666666666667E-4    8.35                     506.7337915444478
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.1666666666666667E-4    10                       703.4561284386989
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.5000000000000001E-4    0.1                      0.6734670960624596
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.5000000000000001E-4    1.7500000000000002       34.64653017028962
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.5000000000000001E-4    3.4000000000000004       112.20791729181136
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.5000000000000001E-4    5.05                     229.8402696619767
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.5000000000000001E-4    6.7                      384.289595840091
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.5000000000000001E-4    8.35                     573.3787220838881
0.02                     5.0E-4                   0.001                    7.229166666666666E-4     1.5000000000000001E-4    10                       795.7382339990702
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     5.0E-5                   0.1                      0.4557582529394407
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     5.0E-5                   1.7500000000000002       27.562839811142517
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     5.0E-5                   3.4000000000000004       89.3768426158813
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     5.0E-5                   5.05                     182.74942552416513
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     5.0E-5                   6.7                      305.59625240332156
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     5.0E-5                   8.35                     456.23647240671727
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     5.0E-5                   10                       633.5745626061714
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     8.333333333333334E-5     0.1                      0.5543344988796794
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     8.333333333333334E-5     1.7500000000000002       31.53947859630401
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     8.333333333333334E-5     3.4000000000000004       102.57762715776992
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     8.333333333333334E-5     5.05                     210.0224734020898
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     8.333333333333334E-5     6.7                      351.3069185136581
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     8.333333333333334E-5     8.35                     524.524832848855
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     8.333333333333334E-5     10                       728.3513673100963
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.1666666666666667E-4    0.1                      0.6406710933945101
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.1666666666666667E-4    1.7500000000000002       35.583337217978325
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.1666666666666667E-4    3.4000000000000004       116.12403506106533
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.1666666666666667E-4    5.05                     238.1219484202239
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.1666666666666667E-4    6.7                      398.3657907302656
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.1666666666666667E-4    8.35                     594.7375947445969
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.1666666666666667E-4    10                       825.907919505203
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.5000000000000001E-4    0.1                      0.7352716256982417
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.5000000000000001E-4    1.7500000000000002       39.96639618091074
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.5000000000000001E-4    3.4000000000000004       130.74783582109382
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.5000000000000001E-4    5.05                     268.3680633330117
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.5000000000000001E-4    6.7                      449.2364273874648
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.5000000000000001E-4    8.35                     671.0159434143063
0.02                     5.0E-4                   0.001                    8.603333333333334E-4     1.5000000000000001E-4    10                       932.2674397795124
0.02                     5.0E-4                   0.001                    9.9775E-4                5.0E-5                   0.1                      0.5062819508156302
0.02                     5.0E-4                   0.001                    9.9775E-4                5.0E-5                   1.7500000000000002       31.91699729375522
0.02                     5.0E-4                   0.001                    9.9775E-4                5.0E-5                   3.4000000000000004       104.62920698380861
0.02                     5.0E-4                   0.001                    9.9775E-4                5.0E-5                   5.05                     214.75879739213877
0.02                     5.0E-4                   0.001                    9.9775E-4                5.0E-5                   6.7                      359.4517280285245
0.02                     5.0E-4                   0.001                    9.9775E-4                5.0E-5                   8.35                     537.0024510474174
0.02                     5.0E-4                   0.001                    9.9775E-4                5.0E-5                   10                       746.2664872109527
0.02                     5.0E-4                   0.001                    9.9775E-4                8.333333333333334E-5     0.1                      0.6114024589478407
0.02                     5.0E-4                   0.001                    9.9775E-4                8.333333333333334E-5     1.7500000000000002       36.26915104862445
0.02                     5.0E-4                   0.001                    9.9775E-4                8.333333333333334E-5     3.4000000000000004       118.76370593373689
0.02                     5.0E-4                   0.001                    9.9775E-4                8.333333333333334E-5     5.05                     243.6840083427755
0.02                     5.0E-4                   0.001                    9.9775E-4                8.333333333333334E-5     6.7                      407.97736518241857
0.02                     5.0E-4                   0.001                    9.9775E-4                8.333333333333334E-5     8.35                     609.4728585503169
0.02                     5.0E-4                   0.001                    9.9775E-4                8.333333333333334E-5     10                       846.8593250422691
0.02                     5.0E-4                   0.001                    9.9775E-4                1.1666666666666667E-4    0.1                      0.705911239264518
0.02                     5.0E-4                   0.001                    9.9775E-4                1.1666666666666667E-4    1.7500000000000002       40.7760085413506
0.02                     5.0E-4                   0.001                    9.9775E-4                1.1666666666666667E-4    3.4000000000000004       133.74582087132814
0.02                     5.0E-4                   0.001                    9.9775E-4                1.1666666666666667E-4    5.05                     274.50133974904367
0.02                     5.0E-4                   0.001                    9.9775E-4                1.1666666666666667E-4    6.7                      459.5514744420276
0.02                     5.0E-4                   0.001                    9.9775E-4                1.1666666666666667E-4    8.35                     686.80611331737
0.02                     5.0E-4                   0.001                    9.9775E-4                1.1666666666666667E-4    10                       954.619634856351
0.02                     5.0E-4                   0.001                    9.9775E-4                1.5000000000000001E-4    0.1                      0.7867714676644864
0.02                     5.0E-4                   0.001                    9.9775E-4                1.5000000000000001E-4    1.7500000000000002       45.319195186958986
0.02                     5.0E-4                   0.001                    9.9775E-4                1.5000000000000001E-4    3.4000000000000004       149.47289781983477
0.02                     5.0E-4                   0.001                    9.9775E-4                1.5000000000000001E-4    5.05                     307.1797286928333
0.02                     5.0E-4                   0.001                    9.9775E-4                1.5000000000000001E-4    6.7                      514.4261123099183
0.02                     5.0E-4                   0.001                    9.9775E-4                1.5000000000000001E-4    8.35                     768.8771683186027
0.02                     5.0E-4                   0.001                    9.9775E-4                1.5000000000000001E-4    10                       1068.9025218298766
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     5.0E-5                   0.1                      0.2646873827870708
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     5.0E-5                   1.7500000000000002       15.478107656028428
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     5.0E-5                   3.4000000000000004       49.37457161388675
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     5.0E-5                   5.05                     100.54862965417159
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     5.0E-5                   6.7                      167.70995255761076
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     5.0E-5                   8.35                     249.99298878981406
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     5.0E-5                   10                       346.7259541911901
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     8.333333333333334E-5     0.1                      0.3307929151372691
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     8.333333333333334E-5     1.7500000000000002       17.703068068863228
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     8.333333333333334E-5     3.4000000000000004       56.04111142702776
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     8.333333333333334E-5     5.05                     114.01029015025006
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     8.333333333333334E-5     6.7                      190.20524815890428
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     8.333333333333334E-5     8.35                     283.67799604276195
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     8.333333333333334E-5     10                       393.56667177658073
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.1666666666666667E-4    0.1                      0.39471468079620686
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.1666666666666667E-4    1.7500000000000002       20.060004760436772
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.1666666666666667E-4    3.4000000000000004       63.58542406797342
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.1666666666666667E-4    5.05                     129.48390614623034
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.1666666666666667E-4    6.7                      216.2527385796339
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.1666666666666667E-4    8.35                     322.6995874670097
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.1666666666666667E-4    10                       447.8096021895445
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.5000000000000001E-4    0.1                      0.45844889488680796
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.5000000000000001E-4    1.7500000000000002       22.55088510260303
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.5000000000000001E-4    3.4000000000000004       71.52623343774161
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.5000000000000001E-4    5.05                     145.74652378819545
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.5000000000000001E-4    6.7                      243.30081425480122
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.5000000000000001E-4    8.35                     362.85577051102644
0.02                     5.0E-4                   0.0013333333333333333    5.855000000000001E-4     1.5000000000000001E-4    10                       503.45472379519555
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     5.0E-5                   0.1                      0.2964284418537223
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     5.0E-5                   1.7500000000000002       17.854589731384735
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     5.0E-5                   3.4000000000000004       57.375664909108345
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     5.0E-5                   5.05                     117.04753053325297
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     5.0E-5                   6.7                      195.44876593235216
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     5.0E-5                   8.35                     291.5489003024639
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     5.0E-5                   10                       404.6676271196126
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     8.333333333333334E-5     0.1                      0.3645095779134589
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     8.333333333333334E-5     1.7500000000000002       20.300640062650018
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     8.333333333333334E-5     3.4000000000000004       64.80869137690662
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     8.333333333333334E-5     5.05                     132.21460051446795
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     8.333333333333334E-5     6.7                      220.91416899114637
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     8.333333333333334E-5     8.35                     329.725947405903
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     8.333333333333334E-5     10                       457.80601254601254
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.1666666666666667E-4    0.1                      0.43698485709887996
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.1666666666666667E-4    1.7500000000000002       23.072941792761224
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.1666666666666667E-4    3.4000000000000004       73.88415151568724
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.1666666666666667E-4    5.05                     150.85642147119415
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.1666666666666667E-4    6.7                      252.08077112975343
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.1666666666666667E-4    8.35                     376.3912941555195
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.1666666666666667E-4    10                       522.6650516041753
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.5000000000000001E-4    0.1                      0.5020617873642964
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.5000000000000001E-4    1.7500000000000002       25.87045386061305
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.5000000000000001E-4    3.4000000000000004       82.88662585023617
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.5000000000000001E-4    5.05                     169.26406385878343
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.5000000000000001E-4    6.7                      282.8550203496681
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.5000000000000001E-4    8.35                     422.092930204688
0.02                     5.0E-4                   0.0013333333333333333    7.229166666666666E-4     1.5000000000000001E-4    10                       585.9438315363906
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     5.0E-5                   0.1                      0.3194123700213242
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     5.0E-5                   1.7500000000000002       20.094188965613444
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     5.0E-5                   3.4000000000000004       65.01920206290012
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     5.0E-5                   5.05                     133.06415651447358
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     5.0E-5                   6.7                      222.63785814866785
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     5.0E-5                   8.35                     332.6170535801817
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     5.0E-5                   10                       462.0821028991497
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     8.333333333333334E-5     0.1                      0.4060179069515547
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     8.333333333333334E-5     1.7500000000000002       23.210695153129375
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     8.333333333333334E-5     3.4000000000000004       74.71279574252166
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     8.333333333333334E-5     5.05                     152.8648063523211
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     8.333333333333334E-5     6.7                      255.67221254392643
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     8.333333333333334E-5     8.35                     381.86864250487065
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     8.333333333333334E-5     10                       530.5378045939232
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.1666666666666667E-4    0.1                      0.47745739523665515
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.1666666666666667E-4    1.7500000000000002       26.12831011477826
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.1666666666666667E-4    3.4000000000000004       84.38036097470405
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.1666666666666667E-4    5.05                     172.76604779207278
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.1666666666666667E-4    6.7                      288.9510088094851
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.1666666666666667E-4    8.35                     431.58917649713175
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.1666666666666667E-4    10                       599.7330756842994
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.5000000000000001E-4    0.1                      0.5416818541354196
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.5000000000000001E-4    1.7500000000000002       29.272932875101322
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.5000000000000001E-4    3.4000000000000004       94.70536707641848
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.5000000000000001E-4    5.05                     194.11358321973287
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.5000000000000001E-4    6.7                      324.9815365331895
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.5000000000000001E-4    8.35                     485.54870590958353
0.02                     5.0E-4                   0.0013333333333333333    8.603333333333334E-4     1.5000000000000001E-4    10                       674.6109314262537
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                5.0E-5                   0.1                      0.3470579557945768
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                5.0E-5                   1.7500000000000002       22.68981425989816
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                5.0E-5                   3.4000000000000004       73.63000981339424
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                5.0E-5                   5.05                     150.79695014744
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                5.0E-5                   6.7                      252.3294087561746
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                5.0E-5                   8.35                     376.9195619741192
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                5.0E-5                   10                       523.7348363552966
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                8.333333333333334E-5     0.1                      0.43142196952371303
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                8.333333333333334E-5     1.7500000000000002       26.155163639231006
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                8.333333333333334E-5     3.4000000000000004       85.09274611388692
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                8.333333333333334E-5     5.05                     174.71790228086567
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                8.333333333333334E-5     6.7                      292.7122606266512
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                8.333333333333334E-5     8.35                     437.6045587354922
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                8.333333333333334E-5     10                       608.5254378978406
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.1666666666666667E-4    0.1                      0.5175904861395239
0.02                     5.0E-4                   0.0013333333333333333    9.9775E-4                1.1666666666666667E-4    1.7500000000000002       29.437206611280455
